BEST GIFT,最佳禮物,A069,057,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A069&Option=1#htop
BEST JADE TRIUMPH,白玉凱旋,P070,033,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=P070&Option=1#htop
BEST REWARD,特獎,V189,046,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V189&Option=1#htop
BEST STEP,愛樂寶,A150,052,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A150&Option=1#htop
BEST SUPREME,白玉至尊,T150,066,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T150&Option=1#htop
BEST TANGO,馬飛龍,S121,048,-1,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S121&Option=1#htop
BIG BANG BONG,龍船,V186,080,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V186&Option=1#htop
BIG FLASH,大輝寶,A037,071,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A037&Option=1#htop
BIG TIME BABY,仁者荃心,A157,080,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A157&Option=1#htop
BINARY HEDGE,精算二元,A080,052,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A080&Option=1#htop
BINGO WIN,福星滿貫,V257,052,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V257&Option=1#htop
BLAZE STAMINA,風火勁駒,V070,073,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V070&Option=1#htop
BLAZING PASS,駟寶,T108,053,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T108&Option=1#htop
BLAZING SPEED,將男,P192,125,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=P192&Option=1#htop
BLISS CARTEL,樂家將,S202,026,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S202&Option=1#htop
BLIZZARD,有得威,S398,123,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S398&Option=1#htop
BLOCKER DEE,越影,T374,096,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T374&Option=1#htop
BO DUKE,馬狀元,S378,053,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S378&Option=1#htop
BOLD STITCH,再石磨藍,S323,059,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S323&Option=1#htop
BOLSHOI BALLET,必搏,V226,053,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V226&Option=1#htop
BOND ELEGANCE,八心之友,A007,056,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A007&Option=1#htop
BONHEUR,快樂明珠,T039,030,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T039&Option=1#htop
BONITO,駿驫,V319,040,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V319&Option=1#htop
BOOMING DELIGHT,喜旺寶,A113,094,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A113&Option=1#htop
BORN DRAGON,喜得龍,V009,050,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V009&Option=1#htop
BORN IN CHINA,軍歌,T103,098,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T103&Option=1#htop
BORN TO RACE,隨時候命,T383,044,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T383&Option=1#htop
BORNTOACHIEVE,老友記,T313,079,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T313&Option=1#htop
BOSSIEE,包勝,S405,041,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S405&Option=1#htop
BOTH GENERAL,寶興福將,A060,052,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A060&Option=1#htop
BOTH LUCKY,舖舖旺,T196,064,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T196&Option=1#htop
BRAVE KNIGHT,星心英雄,T226,044,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T226&Option=1#htop
BRAVE LEGEND,勇敢傳說,A260,071,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A260&Option=1#htop
BRAVO WATCHMAN,彪形猛漢,A102,069,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A102&Option=1#htop
BREEDERS' STAR,育馬妙星,V197,069,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V197&Option=1#htop
BRIGHT STAR,光輝之星,N387,046,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=N387&Option=1#htop
BRILLIANT DREAM,超凡夢想,S203,061,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S203&Option=1#htop
BRILLIANT MONKEYS,四小福,S283,035,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S283&Option=1#htop
BRING IT ON,放馬過來,V407,067,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V407&Option=1#htop
BUDDY BUNDY,勁兔皇,T157,058,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T157&Option=1#htop
BULB ELITE,燈胆精英,A183,082,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A183&Option=1#htop
BULLISH GLORY,牛精輝煌,A118,085,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A118&Option=1#htop
BULLISH SMART,牛精叻仔,S221,081,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S221&Option=1#htop
BUMBLE BABY,蓋世之寶,V306,053,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V306&Option=1#htop
BURST AWAY,福穎,A001,069,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A001&Option=1#htop
C P POWER,常拼常勝,V037,048,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V037&Option=1#htop
CALCULATION,估惑,A248,071,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A248&Option=1#htop
